,name,duration,efficiency,ontime_rate,request_volume,SUBJECT
123,Charlestown,67.27,264 ,0.83,245,Transportation - Traffic Division
124,Dorchester,97.58,260 ,0.83,1249,Transportation - Traffic Division
125,Downtown / Financial District,35.85,309 ,0.79,1093,Transportation - Traffic Division
126,East Boston,49.42,337 ,0.88,478,Transportation - Traffic Division
127,Fenway / Kenmore / Audubon Circle / Longwood,37.1,285 ,0.82,347,Transportation - Traffic Division
128,Hyde Park,86.24,334 ,0.83,328,Transportation - Traffic Division
129,Jamaica Plain,95.45,271 ,0.8,684,Transportation - Traffic Division
130,Mattapan,114.21,206 ,0.82,507,Transportation - Traffic Division
131,Mission Hill,45.58,353 ,0.85,198,Transportation - Traffic Division
132,Roslindale,61.85,242 ,0.82,479,Transportation - Traffic Division
133,Roxbury,68.18,257 ,0.84,911,Transportation - Traffic Division
134,South Boston / South Boston Waterfront,22.46,534 ,0.9,718,Transportation - Traffic Division
135,South End,30.01,558 ,0.85,278,Transportation - Traffic Division
136,West Roxbury,87.7,267 ,0.78,260,Transportation - Traffic Division
